Text,Phonetic,Meaning,Example,DifficultyLevel
singer,/ˈsɪŋə(r)/,n. 歌手,She's a wonderful singer.,1
singing,/ˈsɪŋɪŋ/,n. 歌唱,the beautiful singing of birds,1
single,/ˈsɪŋɡl/,adj. 单身的,He sent her a single red rose.,1
sink,/sɪŋk/,v. 下沉,The ship sank to the bottom of the sea.,2
sir,/sɜː(r)/,n. 先生,"Good morning, sir. Can I help you?",1
sister,/ˈsɪstə(r)/,n. 姐姐,She's my sister.,1
sit,/sɪt/,v. 坐,She sat and stared at the letter in front of her.,1
site,/saɪt/,n. 地点,the site of a sixteenth-century abbey,1
situated,/ˈsɪtʃueɪtɪd/,adj. 位于,My bedroom was situated on the top floor of the house.,4
situation,/ˌsɪtʃuˈeɪʃn/,n. 情况,the present economic/financial/political situation,1
six,/sɪks/,num. 六,There are six cookies left.,1
sixteen,/ˌsɪksˈtiːn/,num. 十六,,1
sixty,/ˈsɪksti/,num. 六十,,1
size,/saɪz/,n. 尺寸,population/sample/group/class size,1
sketch,/sketʃ/,n. 草图,The artist is making sketches for his next painting.,4
ski,/skiː/,adj. 滑雪,a ski resort,1
skiing,/ˈskiːɪŋ/,n. 滑雪,He also enjoys skiing and mountain biking.,1
skill,/skɪl/,n. 技能,The job requires skill and an eye for detail.,1
skilled,/skɪld/,adj. 熟练,a skilled engineer/negotiator/craftsman,3
skin,/skɪn/,n. 皮肤,to have dark/pale skin,1
skip,/skɪp/,v. 跳过,She skipped happily along beside me.,4
skirt,/skɜːt/,n. 裙子,a short/long/pleated/denim skirt,1
skull,/skʌl/,n. 颅骨,a fractured skull,3
sky,/skaɪ/,n. 天空,The sky suddenly went dark and it started to rain.,1
slam,/slæm/,v. 满贯,I heard the door slam behind him.,4
slap,/slæp/,v. 拍击,She slapped his face hard.,4
slash,/slæʃ/,v. 削减,"slash something, Someone had slashed the tyres on my car.",4
slave,/sleɪv/,n. 奴隶,"A former slave, he graduated from Clafflin University in South Carolina.",3
slavery,/ˈsleɪvəri/,n. 奴隶制,to be sold into slavery,4
sleep,/sliːp/,n. 睡觉,I need to get some sleep.,1
slice,/slaɪs/,n. 片,Cut the meat into thin slices.,2
slide,/slaɪd/,n. 滑动,Here's a slide showing target markets.,3
slight,/slaɪt/,adj. 轻微,a slight increase/change/difference,3
slightly,/ˈslaɪtli/,adv. 轻微地,a slightly different version,2
slip,/slɪp/,to slide a short distance by accident so that you fall or nearly fall,She slipped and landed flat on her back.,3
slogan,/ˈsləʊɡən/,n. 口号,an advertising slogan,3
slope,/sləʊp/,n. 坡,"on a slope, The town is built on a slope.",3
slot,/slɒt/,n. 投币口,to put some coins in the slot,4
slow,/sləʊ/,adj. 慢的,a slow pace/speed,1
slowly,/ˈsləʊli/,adv. 慢慢地,to move/walk/turn slowly,1
small,/smɔːl/,adj. 小的,a small town/village/community,1
smart,/smɑːt/,adj. 聪明的,I have to be smart for work.,2
smartphone,/ˈsmɑːtfəʊn/,n. 手机,You can use your smartphone to access the internet.,1
smash,/smæʃ/,v. 粉碎,Several windows had been smashed.,4
smell,/smel/,n. 闻,a sweet/pleasant smell,1
smile,/smaɪl/,n. 微笑,a broad/warm/bright/slight smile,1
smoke,/sməʊk/,n. 抽烟,cigarette/tobacco smoke,1
smoking,/ˈsməʊkɪŋ/,n. 吸烟,"No Smoking (= for example, on a notice)",1
smooth,/smuːð/,adj. 光滑的,the smooth surface of the metal,2
snake,/sneɪk/,n. 蛇,a snake coiled up in the grass,1
snap,/snæp/,v. 折断,"snap something, The wind had snapped the tree in two.",4
snow,/snəʊ/,n. 雪,Snow was falling heavily.,1
so,/səʊ/,adv. 所以,Don't look so angry.,1
so-called,/ˌsəʊ ˈkɔːld/,adj. 所谓的,the opinion of a so-called ‘expert’,3
soak,/səʊk/,v. 浸泡,"soak something (in something), I usually soak the beans overnight.",4
soap,/səʊp/,n. 肥皂,Wash the affected area with soap and water.,1
soar,/sɔː(r)/,v. 翱翔,soaring costs/prices/temperatures,4
soccer,/ˈsɒkə(r)/,n. 足球,I played soccer when I was younger.,1
social,/ˈsəʊʃl/,adj. 社会的,She has a busy social life.,1
socialist,/ˈsəʊʃəlɪst/,adj. 社会主义者,socialist beliefs,4
society,/səˈsaɪəti/,n. 社会,She believes that the arts benefit society as a whole.,1
sock,/sɒk/,n. 短袜,a pair of socks,1
soft,/sɒft/,adj. 柔软的,soft margarine,1
software,/ˈsɒftweə(r)/,n. 软件,management/editing software,2
soil,/sɔɪl/,n. 土壤,instruments for measuring soil moisture,2
solar,/ˈsəʊlə(r)/,adj. 太阳的,solar radiation,3
soldier,/ˈsəʊldʒə(r)/,n. 士兵,They visited the graves of US soldiers killed in the First World War.,1
sole,/səʊl/,adj. 唯一,the sole surviving member of the family,4
solely,/ˈsəʊlli/,adv. 仅仅,She was motivated solely by self-interest.,4
solicitor,/səˈlɪsɪtə(r)/,n. 律师,Her first step was to contact a solicitor for advice.,4
solid,/ˈsɒlɪd/,adj. 坚硬的,The planet Jupiter may have no solid surface at all.,2
solidarity,/ˌsɒlɪˈdærəti/,n. 团结,community solidarity,4
solo,/ˈsəʊləʊ/,adj. 独奏,his first solo flight,4
solution,/səˈluːʃn/,n. 解决方案,Attempts to find a solution have failed.,1
solve,/sɒlv/,v. 解决,Attempts are being made to solve the problem of waste disposal.,1
some,/sʌm/,det. 一些,There's some milk in the fridge.,1
somebody,/ˈsʌmbədi/,pron. 某人,Somebody should have told me.,1
somehow,/ˈsʌmhaʊ/,adv. 不知何故,We must stop him from seeing her somehow.,3
someone,/ˈsʌmwʌn/,pron. 某人,There's someone at the door.,1
something,/ˈsʌmθɪŋ/,pron. 某物,We stopped for something to eat.,1
sometime,/ˈsʌmtaɪm/,adv. 某个时候,I saw him sometime last summer.,3
sometimes,/ˈsʌmtaɪmz/,adv. 有时,Sometimes I go by car.,1
somewhat,/ˈsʌmwɒt/,adv. 有些,somewhat different/similar,3
somewhere,/ˈsʌmweə(r)/,adv. 某处,I read somewhere that she refuses to do interviews.,1
son,/sʌn/,n. 儿子,their four-year-old son,1
song,/sɒŋ/,n. 歌曲,a love/pop/rock song,1
soon,/suːn/,adv. 很快,She sold the house soon after her husband died.,1
sophisticated,/səˈfɪstɪkeɪtɪd/,adj. 复杂的,highly sophisticated computer systems,3
sorry,/ˈsɒri/,adj. 对不起,"sorry about something, We're very sorry about the damage to your car.",1
sort,/sɔːt/,n. 种类,"sort of somebody/something, ‘What sort of music do you like?’ ‘Oh, all sorts.’",1
soul,/səʊl/,n. 灵魂,He believed his immortal soul was in peril.,3
sound,/saʊnd/,adj. 声音,He's a person of very sound judgement.,4
soup,/suːp/,n. 汤,a bowl/cup of soup,1
source,/sɔːs/,n. 来源,renewable energy sources,1
south,/saʊθ/,adj. 南,South Wales,1
southern,/ˈsʌðən/,adj. 南部,the southern slopes of the mountains,2
sovereignty,/ˈsɒvrənti/,n. 主权,The country claimed sovereignty over the island.,4
space,/speɪs/,n. 空间,"in space, Valentina Tereshkova was the first woman in space.",1
spam,/spæm/,n. 垃圾邮件,to send/block spam,4
span,/spæn/,n. 跨度,I worked with him over a span of six years.,4
spare,/speə(r)/,adj. 空闲的,He's studying music in his spare time.,3
spark,/spɑːk/,v. 火花,"spark something, The proposal would spark a storm of protest around the country.",4
speak,/spiːk/,v. 说话,"speak to somebody, The President refused to speak to reporters.",1
speaker,/ˈspiːkə(r)/,n. 扬声器,He was a guest speaker at the conference.,1
special,/ˈspeʃl/,adj. 特别的,The school will only allow this in special circumstances.,1
specialist,/ˈspeʃəlɪst/,adj. 专家,specialist knowledge/training/skills,3
specialize,/ˈspeʃəlaɪz/,v. 专门化,Many students prefer not to specialize too soon.,3
specialized,/ˈspeʃəlaɪzd/,adj. 专门,specialized equipment,4
species,/ˈspiːʃiːz/,"a group into which animals, plants, etc. that are able to have sex with each other and produce healthy young are divided, smaller than a genus and identified by a Latin name",a conservation area for endangered species,3
specific,/spəˈsɪfɪk/,adj. 具体的,specific needs/requirements,1
specifically,/spəˈsɪfɪkli/,adv. 具体来说,liquid vitamins specifically designed for children,2
specification,/ˌspesɪfɪˈkeɪʃn/,n. 规格,the technical specifications of the new model (= of car),4
specify,/ˈspesɪfaɪ/,v. 指定,"specify something, Remember to specify your size when ordering clothes.",3
specimen,/ˈspesɪmən/,n. 标本,Astronauts have brought back specimens of rock from the moon.,4
spectacle,/ˈspektəkl/,n. 奇观,a pair of spectacles,4
spectacular,/spekˈtækjələ(r)/,adj. 壮观的,The coastal road has spectacular scenery.,3
spectator,/spekˈteɪtə(r)/,n. 旁观者,The new football stadium will hold 75 000 spectators.,3
spectrum,/ˈspektrəm/,n. 光谱,A spectrum is formed by a ray of light passing through a prism.,4
speculate,/ˈspekjuleɪt/,v. 推测,"speculate (about/on/as to something), We all speculated about the reasons for her resignation.",3
speculation,/ˌspekjuˈleɪʃn/,n. 猜测,His private life is the subject of much speculation.,3
speech,/spiːtʃ/,n. 演讲,Several people made speeches at the wedding.,1
speed,/spiːd/,n. 速度,"at … speed, at high/low/full/top speed",1
spell,/spel/,n. 拼写,We had a spell of warm weather in April.,4
spelling,/ˈspelɪŋ/,n. 拼写,the differences between British and American spelling,1
spend,/spend/,v. 花费,"spend something, I've spent all my money already.",1
spending,/ˈspendɪŋ/,n. 开支,to increase/cut/reduce spending,2
sphere,/sfɪə(r)/,n. 领域,The Earth is not a perfect sphere.,4
spice,/spaɪs/,n. 香料,common spices such as ginger and cinnamon,3
spicy,/ˈspaɪsi/,adj. 辛辣的,I don't like spicy food.,2
spider,/ˈspaɪdə(r)/,n. 蜘蛛,a poisonous spider,1
spill,/spɪl/,v. 洒,Water had spilled out of the bucket onto the floor.,3
spin,/spɪn/,n. 旋转,Only in the last 50 years have we had clocks accurate enough to measure changes in the earth's spin.,4
spine,/spaɪn/,n. 脊柱,A shiver went down my spine.,4
spirit,/ˈspɪrɪt/,n. 精神,You are underestimating the power of the human spirit to overcome difficulties.,2
spiritual,/ˈspɪrɪtʃuəl/,adj. 精神,a spiritual experience,3
spite,/spaɪt/,n. 恶意,"out of spite, I'm sure he only said it out of spite.",3
split,/splɪt/,n. 分裂,"Ten years after their acrimonious split, the band has reformed.",3
spoil,/spɔɪl/,v. 破坏,Our camping trip was spoilt by bad weather.,3
spoken,/ˈspəʊkən/,adj. 说,spoken English,2
spokesman,/ˈspəʊksmən/,n. 发言人,a police spokesman,3
spokesperson,/ˈspəʊkspɜːsn/,n. 发言人,a council spokesperson,3
spokeswoman,/ˈspəʊkswʊmən/,n. 发言人,a government spokeswoman,3
sponsor,/ˈspɒnsə(r)/,n. 赞助,The programme is funded by a number of corporate sponsors.,3
sponsorship,/ˈspɒnsəʃɪp/,n. 赞助,a $50 million sponsorship deal,3
spoon,/spuːn/,n. 勺子,a plastic/metal spoon,1
sport,/spɔːt/,n. 运动,There are excellent facilities for sport and recreation.,1
sporting,/ˈspɔːtɪŋ/,adj. 体育运动,a major sporting event,3
spot,/spɒt/,n. 点,"Which has spots, the leopard or the tiger?",2
spotlight,/ˈspɒtlaɪt/,n. 聚光灯,The room was lit by spotlights.,4
spouse,/spaʊs/,n. 配偶,Fill in your spouse’s name here.,4
spread,/spred/,n. 传播,measures to halt the spread of the disease,3
spring,/sprɪŋ/,n. 春天,"The following spring, the three artists travelled to California.",1
spy,/spaɪ/,n. 间谍,He was denounced as a foreign spy.,4
squad,/skwɒd/,n. 队,the drugs/fraud/bomb/riot squad ,4
square,/skweə(r)/,adj. 正方形,a square room,1
squeeze,/skwiːz/,v. 挤,to squeeze a tube of toothpaste,4
stab,/stæb/,v. 刺,He was stabbed to death in a racist attack.,4
stability,/stəˈbɪləti/,n. 稳定,political/economic/social stability,4
stabilize,/ˈsteɪbəlaɪz/,v. 稳定,The patient's condition stabilized.,4
stable,/ˈsteɪbl/,adj. 稳定的,The patient's condition is stable (= it is not getting worse).,3
stadium,/ˈsteɪdiəm/,n. 体育场,a football/sports stadium,2
staff,/stɑːf/,n. 职员,medical/nursing/teaching/coaching staff,2
stage,/steɪdʒ/,n. 阶段,"at… stage, I can't make a decision at this stage.",1
stair,/steə(r)/,a set of steps built between two floors inside a building,We had to carry the piano up three flights of stairs.,1
stake,/steɪk/,n. 赌注,a 20 per cent stake in the business,4
stall,/stɔːl/,n. 摊位,He works on a market stall in the Square.,3
stamp,/stæmp/,n. 邮票,a 67p stamp,1
stance,/stæns/,n. 姿态,What is the newspaper's stance on the war?,3
stand,/stænd/,n. 站立,He has avoided taking a firm stand.,3
standard,/ˈstændəd/,adj. 标准,the standard rate of tax (= paid by everyone),2
standing,/ˈstændɪŋ/,adj. 常设,a standing jump/start,4
star,/stɑː(r)/,n. 星星,There was a big moon and hundreds of stars were shining overhead.,1
stare,/steə(r)/,v. 盯,I screamed and everyone stared.,3
stark,/stɑːk/,adj. 斯塔克,The author paints a stark picture of life in a prison camp.,4
start,/stɑːt/,n. 开始,"If we don't hurry, we'll miss the start.",1
starve,/stɑːv/,v. 饿死,The animals were left to starve to death.,3
state,/steɪt/,adj. 状态,state officials/agencies,2
statement,/ˈsteɪtmənt/,n. 陈述,Are the following statements true or false?,1
station,/ˈsteɪʃn/,n. 车站,the main station,1
statistic,/stəˈtɪstɪk/,n. 统计,Analysis of crime statistics showed high levels of violent crime within the area.,2
statistical,/stəˈtɪstɪkl/,adj. 统计,statistical analysis,4
statue,/ˈstætʃuː/,n. 雕像,a bronze/marble statue,2
status,/ˈsteɪtəs/,n. 地位,They were granted refugee status.,3
stay,/steɪ/,n. 停留,I enjoyed my stay in Prague.,1
steadily,/ˈstedəli/,adv. 稳步,The company's exports have been increasing steadily.,3
steady,/ˈstedi/,adj. 稳定的,We've had five years of steady economic growth.,3
steal,/stiːl/,v. 偷,I'll report you to the police if I catch you stealing again.,1
steam,/stiːm/,n. 蒸汽,Steam rose from the boiling kettle.,3
steel,/stiːl/,n. 钢,the iron and steel industry,3
steep,/stiːp/,adj. 陡,a steep hill/slope,3
steer,/stɪə(r)/,v. 驾驶,He steered the boat into the harbour.,4
stem,/stem/,n. 干,"long, trailing stems of ivy",4
step,/step/,n. 步,We are taking steps to prevent pollution.,1
stereotype,/ˈsteriətaɪp/,n. 刻板印象,cultural/gender/racial stereotypes,4
stick,/stɪk/,n. 戳,We collected dry sticks to start a fire.,2
sticky,/ˈstɪki/,adj. 黏,sticky fingers covered in jam,3
stiff,/stɪf/,adj. 僵硬的,a sheet of stiff black cardboard,3
still,/stɪl/,adj. 仍然,A fallen tree floated in the still water.,2
stimulate,/ˈstɪmjuleɪt/,v. 刺激,The exhibition has stimulated interest in her work.,3
stimulus,/ˈstɪmjələs/,n. 刺激,"stimulus for something, Books provide children with ideas and a stimulus for play.",4
stir,/stɜː(r)/,v. 搅拌,"stir something, She stirred her tea.",4
stock,/stɒk/,n. 库存,We have a fast turnover of stock.,3
stomach,/ˈstʌmək/,n. 胃,stomach pains/cramps,1
stone,/stəʊn/,n. 石头,Most of the houses are built of stone.,1
stop,/stɒp/,n. 停止,I get off at the next stop.,1
storage,/ˈstɔːrɪdʒ/,n. 贮存,tables that fold flat for storage,4
store,/stɔː(r)/,n. 店铺,It's available at London's three biggest stores.,1
storm,/stɔːm/,n. 风暴,fierce/heavy/severe/violent storms,1
story,/ˈstɔːri/,n. 故事,a tragic love story,1
straight,/streɪt/,adj. 直的,a straight road,1
straightforward,/ˌstreɪtˈfɔːwəd/,adj. 直截了当,It's a relatively straightforward process.,4
strain,/streɪn/,n. 拉紧,The transport service cannot cope with the strain of so many additional passengers.,4
strand,/strænd/,n. 股,He pulled at a loose strand of wool in his sweater.,4
strange,/streɪndʒ/,adj. 奇怪的,A strange thing happened this morning.,1
stranger,/ˈstreɪndʒə(r)/,n. 陌生人,There was a complete stranger sitting at my desk.,2
strategic,/strəˈtiːdʒɪk/,adj. 战略,strategic planning,4
strategy,/ˈstrætədʒi/,n. 战略,the government’s economic strategy,1
stream,/striːm/,n. 溪流,a mountain stream,3
street,/striːt/,n. 街道,"along/down/up the street, I was just walking along the street when it happened.",1
strength,/streŋkθ/,n. 力量,He pushed against the rock with all his strength.,2
strengthen,/ˈstreŋkθn/,v. 加强,Her position in the party has strengthened in recent weeks.,3
stress,/stres/,n. 压力,emotional/mental stress,1
stretch,/stretʃ/,n. 拉紧,a particularly dangerous stretch of road,3
strict,/strɪkt/,adj. 严格的,strict rules/regulations,3
strictly,/ˈstrɪktli/,adv. 严格地,She was brought up very strictly.,3
strike,/straɪk/,n. 罢工,the miners'/firefighters'/teachers' strike,3
striking,/ˈstraɪkɪŋ/,adj. 引人注目,a striking feature,4
string,/strɪŋ/,n. 细绳,a piece/length/ball of string ,2
strip,/strɪp/,n. 条,a strip of material,4
strive,/straɪv/,v. 努力,"strive for something, We encourage all members to strive for the highest standards.",4
stroke,/strəʊk/,n. 中风,What a beautiful stroke!,3
strong,/strɒŋ/,adj. 强的,He's strong enough to lift a car!,1
strongly,/ˈstrɒŋli/,adv. 强烈地,a strongly worded protest,2
structural,/ˈstrʌktʃərəl/,adj. 结构性的,Storms have caused structural damage to hundreds of homes.,4
structure,/ˈstrʌktʃə(r)/,n. 结构,the structure of the building,1
struggle,/ˈstrʌɡl/,n. 斗争,Marx wrote about the class struggle.,3
student,/ˈstjuːdnt/,n. 学生,a college/university student,1
studio,/ˈstjuːdiəʊ/,n. 工作室,a television/recording studio,2
study,/ˈstʌdi/,n. 学习,a room set aside for private study,1
stuff,/stʌf/,n. 东西,What's all that sticky stuff on the carpet?,2
stumble,/ˈstʌmbl/,v. 绊倒,The child stumbled and fell.,4
stun,/stʌn/,v. 击晕,The fall stunned me for a moment.,4
stunning,/ˈstʌnɪŋ/,adj. 令人惊叹的,You look absolutely stunning!,3
stupid,/ˈstjuːpɪd/,adj. 愚蠢的,a stupid mistake/question/idea ,1
style,/staɪl/,n. 风格,a wide range of musical styles,1
subject,/ˈsʌbdʒɪkt/,adj. 主题,At this stage these are proposals and are still subject to change.,3
submission,/səbˈmɪʃn/,n. 提交,a gesture of submission,4
submit,/səbˈmɪt/,v. 提交,"submit something, to submit an application/a claim/a proposal",3
subscriber,/səbˈskraɪbə(r)/,n. 订户,subscribers to ‘New Scientist’,4
subscription,/səbˈskrɪpʃn/,n. 订阅,an annual subscription,4
subsequent,/ˈsʌbsɪkwənt/,adj. 随后的,subsequent generations,3
subsequently,/ˈsʌbsɪkwəntli/,adv. 随后,The original interview notes were subsequently lost.,3
subsidy,/ˈsʌbsədi/,n. 补贴,agricultural subsidies,4
substance,/ˈsʌbstəns/,n. 物质,a sticky substance,2
substantial,/səbˈstænʃl/,adj. 重大的,substantial sums of money,4
substantially,/səbˈstænʃəli/,adv. 实质上,The costs have increased substantially.,4
substitute,/ˈsʌbstɪtjuːt/,n. 代替,a meat substitute,4
substitution,/ˌsʌbstɪˈtjuːʃn/,n. 替代,Two substitutions were made during the game.,4
subtle,/ˈsʌtl/,adj. 微妙的,"subtle colours/flavours/smells, etc.",4
suburb,/ˈsʌbɜːb/,n. 市郊,a suburb of London,3
suburban,/səˈbɜːbən/,adj. 郊区的,suburban areas,4
succeed,/səkˈsiːd/,v. 成功,Our plan succeeded.,1
success,/səkˈses/,n. 成功,The company has achieved considerable success in this market.,1
successful,/səkˈsesfl/,adj. 成功的,The experiment was entirely successful.,1
successfully,/səkˈsesfəli/,adv. 成功地,She had already successfully completed these courses.,2
succession,/səkˈseʃn/,n. 演替,a succession of visitors,4
successive,/səkˈsesɪv/,adj. 连续,This was their fourth successive win.,4
successor,/səkˈsesə(r)/,n. 接班人,Who's the likely successor to him as party leader?,4
such,/sʌtʃ/,det. 这样的,This issue was of such importance that we could not afford to ignore it.,1
suck,/sʌk/,v. 吸,to suck the juice from an orange,4
sudden,/ˈsʌdn/,adj. 突然的,News of his sudden and unexpected death came as a great shock.,2
suddenly,/ˈsʌdənli/,adv. 突然,I suddenly realized what I had to do.,1
sue,/suː/,v. 起诉,They threatened to sue if the work was not completed.,4
suffer,/ˈsʌfə(r)/,v. 遭受,I hate to see animals suffering.,2
suffering,/ˈsʌfərɪŋ/,n. 痛苦,Death finally brought an end to her suffering.,3
sufficient,/səˈfɪʃnt/,adj. 充足的,Allow sufficient time to get there.,3
sufficiently,/səˈfɪʃntli/,adv. 充分地,The following day she felt sufficiently well to go to work.,3
sugar,/ˈʃʊɡə(r)/,n. 糖,"Do you take sugar (= have it in your tea, coffee, etc.)?",1
suggest,/səˈdʒest/,v. 建议,"suggest something, I'd like to suggest a different explanation for the company's decline.",1
suggestion,/səˈdʒestʃən/,n. 建议,Can I make a suggestion?,1
suicide,/ˈsuːɪsaɪd/,n. 自杀,to commit suicide,4
suit,/suːt/,n. 套装,She was wearing a grey business suit.,1
suitable,/ˈsuːtəbl/,adj. 合适的,a suitable candidate,2
suite,/swiːt/,n. 套房,a hotel/private/honeymoon suite,4
sum,/sʌm/,n. 和,You will be fined the sum of £200.,3
summarize,/ˈsʌməraɪz/,v. 总结,This essay briefly summarizes some of our approaches.,2
summary,/ˈsʌməri/,n. 概括,a news summary,2
summer,/ˈsʌmə(r)/,n. 夏天,"in the summer, We're going away in the summer.",1
summit,/ˈsʌmɪt/,n. 首脑,We reached the summit at noon.,4
sun,/sʌn/,n. 太阳,The sun was shining and birds were singing.,1
Sunday,/ˈsʌndeɪ/,n. 星期日,"It's Sunday today, isn't it?",1
super,/ˈsuːpə(r)/,adj. 极好的,a super meal,3
superb,/suːˈpɜːb/,adj. 高超,a superb player,4
superior,/suːˈpɪəriə(r)/,adj. 优越的,vastly superior,4
supermarket,/ˈsuːpəmɑːkɪt/,n. 超级市场,I only shop at this supermarket.,1
supervise,/ˈsuːpəvaɪz/,v. 监督,"supervise (somebody/something), to supervise building work",4
supervision,/ˌsuːpəˈvɪʒn/,n. 监督,Very young children should not be left to play without supervision.,4
supervisor,/ˈsuːpəvaɪzə(r)/,n. 导师,I have a meeting with my supervisor about my research topic.,4
supplement,/ˈsʌplɪmənt/,n. 补充,vitamin/dietary supplements (= vitamins and other foods eaten in addition to what you usually eat),4
supply,/səˈplaɪ/,n. 供应,Advances in agriculture increased the food supply.,2
support,/səˈpɔːt/,n. 支持,"support for something, There is strong public support for the policy.",1
supporter,/səˈpɔːtə(r)/,n. 支持者,a strong/loyal/staunch/ardent supporter,2
supportive,/səˈpɔːtɪv/,adj. 支持的,a supportive family,4
suppose,/səˈpəʊz/,v. 认为,Getting a visa isn't as simple as you might suppose.,1
supposedly,/səˈpəʊzɪdli/,adv. 据推测,The novel is supposedly based on a true story.,4
suppress,/səˈpres/,v. 压制,The rebellion was brutally suppressed.,4
supreme,/suˈpriːm/,adj. 最高,the Supreme Commander of the armed forces,4
sure,/ʃʊə(r)/,adj. 当然,‘Is that John over there?’ ‘I'm not sure’.,1
surely,/ˈʃʊəli/,adv. 一定,Surely we should do something about it?,2
surface,/ˈsɜːfɪs/,n. 表面,"We need a flat, smooth surface to play the game on.",2
surge,/sɜːdʒ/,n. 涌,She felt a sudden surge of anger.,4
surgeon,/ˈsɜːdʒən/,n. 外科医生,a brain/heart surgeon,3
surgery,/ˈsɜːdʒəri/,n. 外科手术,major/minor surgery,3
surgical,/ˈsɜːdʒɪkl/,adj. 外科,surgical procedures,4
surplus,/ˈsɜːpləs/,n. 剩余,food surpluses,4
surprise,/səˈpraɪz/,n. 惊喜,What a nice surprise!,1
surprised,/səˈpraɪzd/,adj. 惊讶,a surprised look,1
surprising,/səˈpraɪzɪŋ/,adj. 奇怪,It’s not surprising (that) they lost.,1
surrender,/səˈrendə(r)/,v. 投降,The rebel soldiers were forced to surrender.,4
surround,/səˈraʊnd/,v. 环绕,"surround something/somebody, Tall trees surround the lake.",3
surrounding,/səˈraʊndɪŋ/,adj. 周围,Oxford and the surrounding area,3
surveillance,/sɜːˈveɪləns/,n. 监视,The police are keeping the suspects under constant surveillance.,4
survey,/ˈsɜːveɪ/,n. 民意调查,A recent survey showed 75 per cent of those questioned were in favour of the plan.,1
survival,/səˈvaɪvl/,n. 生存,the struggle/battle/fight for survival,3
survive,/səˈvaɪv/,v. 存活,She was the last surviving member of the family.,2
survivor,/səˈvaɪvə(r)/,n. 幸存者,the sole/only survivor of the massacre,3
suspect,/ˈsʌspekt/,n. 怀疑,a murder suspect,3
suspend,/səˈspend/,v. 暂停,"be suspended from something, A lamp was suspended from the ceiling.",3
suspension,/səˈspenʃn/,n. 暂停,suspension from school,4
suspicion,/səˈspɪʃn/,n. 怀疑,They drove away slowly to avoid arousing suspicion.,4
suspicious,/səˈspɪʃəs/,adj. 可疑的,They became suspicious of his behaviour and contacted the police.,4
sustain,/səˈsteɪn/,v. 维持,Which planets can sustain life?,4
sustainable,/səˈsteɪnəbl/,adj. 可持续的,sustainable forest management,3
swallow,/ˈswɒləʊ/,v. 吞,"swallow (something), Always chew food well before swallowing it.",3
swear,/sweə(r)/,v. 发誓,She fell over and swore loudly.,3
sweater,/ˈswetə(r)/,n. 毛衣,She wore jeans and a sweater.,1
sweep,/swiːp/,v. 扫,"sweep (something), to sweep the floor",3
sweet,/swiːt/,adj. 甜的,a cup of hot sweet tea,1
swim,/swɪm/,n. 游泳,Let's go for a swim.,2
swimming,/ˈswɪmɪŋ/,n. 游泳,Swimming is a good form of exercise.,1
swing,/swɪŋ/,n. 摇摆,He took a wild swing at the ball.,4
switch,/swɪtʃ/,n. 转变,a light switch,3
sword,/sɔːd/,n. 剑,to draw/sheathe a sword (= to take it out of/put it into its cover),4
symbol,/ˈsɪmbl/,n. 象征,The vase is decorated with religious symbols.,1
symbolic,/sɪmˈbɒlɪk/,adj. 象征性的,He shook his fist in a symbolic gesture of defiance.,4
sympathetic,/ˌsɪmpəˈθetɪk/,adj. 富有同情心的,a sympathetic listener,3
sympathy,/ˈsɪmpəθi/,n. 同情,"sympathy for somebody, to express/feel sympathy for somebody",3
symptom,/ˈsɪmptəm/,n. 症状,Symptoms include a headache and sore throat.,2
syndrome,/ˈsɪndrəʊm/,n. 综合症,PMS or premenstrual syndrome,4
synthesis,/ˈsɪnθəsɪs/,n. 合成,"synthesis of A with B, the synthesis of art with everyday life",4
system,/ˈsɪstəm/,n. 系统,reform of the country's education system,1
systematic,/ˌsɪstəˈmætɪk/,adj. 系统的,a systematic approach to solving the problem,4
T-shirt,/ˈtiː ʃɜːt/,n. T恤,He was wearing a faded pair of blue jeans and an old T-shirt.,1
table,/ˈteɪbl/,n. 桌子,"at a/the table, We sat at a round table in the corner.",1
tablet,/ˈtæblət/,n. 药片,The company has launched its latest 10-inch tablet.,1
tackle,/ˈtækl/,n. 处理,He was booked for a late tackle on Torres.,4
tactic,/ˈtæktɪk/,n. 战术,They tried all kinds of tactics to get us to go.,4
tactical,/ˈtæktɪkl/,adj. 战术上的,tactical planning,4
tag,/tæɡ/,n. 标签,He put name tags on all his shirts.,3
tail,/teɪl/,n. 尾巴,"The dog ran up, wagging its tail.",2
take,/teɪk/,v. 拿,"take something, Remember to take your coat when you leave.",1
tale,/teɪl/,n. 故事,a coming-of-age/morality tale,3
talent,/ˈtælənt/,n. 天赋,The festival showcases the talent of young musicians.,2
talented,/ˈtæləntɪd/,adj. 有才华的,a talented player/musician/artist ,2
talk,/tɔːk/,n. 讲话,I went to several interesting talks at the conference.,1
tall,/tɔːl/,adj. 高的,She's tall and thin.,1
tank,/tæŋk/,n. 坦克,a fuel/water/storage tank,3
tap,/tæp/,n. 轻敲,bath taps,3
tape,/teɪp/,n. 磁带,adhesive/sticky tape,2
target,/ˈtɑːɡɪt/,n. 目标,to meet/hit a target,1
task,/tɑːsk/,n. 任务,to accomplish/perform/undertake/complete a task,1
taste,/teɪst/,n. 品尝,a sweet/salty/bitter/sour taste,1
tax,/tæks/,n. 税,to pay your taxes,2
